ano,mes,data,regiao,uf,cidade,tipo_acidente,periodo_dia,acidentes,feridos,mortes,chuva_mm,visibilidade,veiculos_envolvidos,nivel_gravidade
2015,2,2015-02-01,Sudeste,ES,Vila Velha,Atropelamento,Manhã,14,15,1,9.5,Muito ruim,38,Crítico
2015,2,2015-02-01,Sudeste,ES,Serra,Colisão,Noite,21,11,2,18.7,Boa,41,Leve
2015,2,2015-02-01,Sul,PR,Curitiba,Capotamento,Madrugada,22,5,3,18.7,Boa,43,Moderado
2015,2,2015-02-01,Sul,PR,Londrina,Capotamento,Manhã,16,13,0,57.9,Boa,42,Grave
2015,2,2015-02-01,Sul,SC,Florianópolis,Colisão,Manhã,17,11,3,36.2,Muito ruim,34,Leve
2015,2,2015-02-01,Sul,SC,Joinville,Colisão,Tarde,17,8,2,29.2,Boa,43,Leve
2015,2,2015-02-01,Sul,RS,Porto Alegre,Saída de pista,Manhã,23,12,2,17.2,Boa,33,Crítico
2015,2,2015-02-01,Sul,RS,Caxias do Sul,Saída de pista,Madrugada,18,14,2,33.6,Muito ruim,30,Crítico
2015,3,2015-03-01,Norte,AM,Manaus,Saída de pista,Noite,16,12,1,20.8,Ruim,30,Moderado
2015,3,2015-03-01,Norte,PA,Belém,Atropelamento,Manhã,29,12,3,17.8,Ruim,51,Crítico
2015,3,2015-03-01,Norte,PA,Santarém,Atropelamento,Tarde,16,8,0,44.1,Moderada,35,Moderado
2015,3,2015-03-01,Norte,RO,Porto Velho,Capotamento,Tarde,18,16,1,26.9,Boa,36,Leve
2015,3,2015-03-01,Norte,TO,Palmas,Colisão,Madrugada,18,15,2,34.3,Boa,37,Leve
2015,3,2015-03-01,Nordeste,BA,Salvador,Capotamento,Manhã,19,17,0,121.3,Moderada,41,Grave
2015,3,2015-03-01,Nordeste,BA,Feira de Santana,Colisão,Tarde,24,13,2,18.3,Boa,37,Crítico
2015,3,2015-03-01,Nordeste,PE,Recife,Saída de pista,Tarde,21,13,0,29.3,Muito ruim,44,Leve
2015,3,2015-03-01,Nordeste,PE,Jaboatão dos Guararapes,Atropelamento,Tarde,19,7,2,21.1,Muito ruim,25,Moderado
2015,3,2015-03-01,Nordeste,CE,Fortaleza,Capotamento,Madrugada,16,8,0,13.0,Moderada,34,Moderado
2015,3,2015-03-01,Nordeste,CE,Juazeiro do Norte,Capotamento,Madrugada,26,12,0,10.9,Moderada,34,Leve
2015,3,2015-03-01,Nordeste,MA,São Luís,Capotamento,Manhã,23,7,2,38.2,Ruim,34,Crítico
2015,3,2015-03-01,Nordeste,PB,João Pessoa,Colisão,Madrugada,15,12,1,39.2,Boa,34,Leve
2015,3,2015-03-01,Centro-Oeste,DF,Brasília,Atropelamento,Manhã,22,17,0,28.1,Boa,27,Crítico
2015,3,2015-03-01,Centro-Oeste,GO,Goiânia,Saída de pista,Tarde,18,7,0,16.3,Boa,48,Crítico
2015,3,2015-03-01,Centro-Oeste,GO,Aparecida de Goiânia,Saída de pista,Noite,18,13,0,15.7,Boa,36,Leve
2015,3,2015-03-01,Centro-Oeste,MT,Cuiabá,Capotamento,Madrugada,21,17,1,44.1,Muito ruim,42,Crítico
2015,3,2015-03-01,Centro-Oeste,MS,Campo Grande,Colisão,Noite,17,6,0,36.5,Moderada,37,Moderado
2015,3,2015-03-01,Sudeste,SP,São Paulo,Colisão,Madrugada,11,10,1,32.4,Muito ruim,30,Moderado
2015,3,2015-03-01,Sudeste,SP,Campinas,Capotamento,Manhã,25,14,1,4.6,Moderada,23,Leve
2015,3,2015-03-01,Sudeste,SP,Ribeirão Preto,Colisão,Noite,16,17,3,2.1,Muito ruim,42,Moderado
2015,3,2015-03-01,Sudeste,RJ,Rio de Janeiro,Atropelamento,Noite,26,7,0,67.9,Ruim,39,Leve
2015,3,2015-03-01,Sudeste,RJ,Niterói,Atropelamento,Manhã,29,5,1,10.5,Muito ruim,50,Leve
2015,3,2015-03-01,Sudeste,RJ,Nova Iguaçu,Capotamento,Manhã,25,13,0,26.6,Ruim,30,Leve
2015,3,2015-03-01,Sudeste,RJ,Petrópolis,Atropelamento,Manhã,18,13,1,67.4,Moderada,47,Grave
2015,3,2015-03-01,Sudeste,MG,Belo Horizonte,Saída de pista,Noite,21,20,1,2.0,Moderada,34,Crítico
2015,3,2015-03-01,Sudeste,MG,Uberlândia,Atropelamento,Noite,21,18,1,52.4,Ruim,37,Grave
2015,3,2015-03-01,Sudeste,MG,Juiz de Fora,Capotamento,Manhã,19,14,1,25.2,Moderada,37,Moderado
2015,3,2015-03-01,Sudeste,ES,Vitória,Atropelamento,Tarde,26,7,2,11.1,Muito ruim,45,Moderado
2015,3,2015-03-01,Sudeste,ES,Vila Velha,Saída de pista,Madrugada,25,11,1,38.2,Muito ruim,38,Crítico
2015,3,2015-03-01,Sudeste,ES,Serra,Atropelamento,Tarde,19,6,0,36.6,Boa,29,Leve
2015,3,2015-03-01,Sul,PR,Curitiba,Capotamento,Madrugada,15,12,1,19.7,Moderada,37,Leve
2015,3,2015-03-01,Sul,PR,Londrina,Colisão,Madrugada,19,10,1,93.0,Moderada,27,Crítico
2015,3,2015-03-01,Sul,SC,Florianópolis,Saída de pista,Noite,24,9,0,0.9,Ruim,29,Grave
2015,3,2015-03-01,Sul,SC,Joinville,Capotamento,Manhã,24,17,0,19.4,Moderada,29,Crítico
2015,3,2015-03-01,Sul,RS,Porto Alegre,Capotamento,Noite,19,13,0,66.4,Muito ruim,39,Crítico
2015,3,2015-03-01,Sul,RS,Caxias do Sul,Atropelamento,Noite,24,13,0,18.5,Boa,34,Grave
2015,4,2015-04-01,Norte,AM,Manaus,Atropelamento,Madrugada,15,17,1,21.6,Muito ruim,35,Grave
2015,4,2015-04-01,Norte,PA,Belém,Saída de pista,Manhã,15,15,0,13.2,Moderada,46,Grave
2015,4,2015-04-01,Norte,PA,Santarém,Atropelamento,Manhã,22,14,0,34.1,Muito ruim,30,Grave
2015,4,2015-04-01,Norte,RO,Porto Velho,Colisão,Madrugada,17,11,0,14.4,Ruim,31,Crítico
2015,4,2015-04-01,Norte,TO,Palmas,Saída de pista,Noite,19,10,1,26.7,Moderada,31,Leve
2015,4,2015-04-01,Nordeste,BA,Salvador,Saída de pista,Tarde,18,16,0,14.1,Muito ruim,34,Leve
2015,4,2015-04-01,Nordeste,BA,Feira de Santana,Saída de pista,Manhã,15,8,4,17.0,Ruim,28,Crítico
2015,4,2015-04-01,Nordeste,PE,Recife,Atropelamento,Tarde,19,12,1,10.4,Boa,30,Crítico
2015,4,2015-04-01,Nordeste,PE,Jaboatão dos Guararapes,Capotamento,Madrugada,22,11,3,37.6,Muito ruim,37,Moderado
2015,4,2015-04-01,Nordeste,CE,Fortaleza,Capotamento,Noite,23,17,1,15.9,Muito ruim,33,Moderado
2015,4,2015-04-01,Nordeste,CE,Juazeiro do Norte,Capotamento,Manhã,26,9,0,85.5,Ruim,29,Crítico
2015,4,2015-04-01,Nordeste,MA,São Luís,Atropelamento,Tarde,25,8,4,60.0,Muito ruim,43,Grave
2015,4,2015-04-01,Nordeste,PB,João Pessoa,Atropelamento,Manhã,23,13,1,6.4,Ruim,24,Grave
2015,4,2015-04-01,Centro-Oeste,DF,Brasília,Capotamento,Tarde,22,7,0,11.1,Moderada,35,Grave
2015,4,2015-04-01,Centro-Oeste,GO,Goiânia,Colisão,Noite,22,15,0,6.1,Muito ruim,22,Leve
2015,4,2015-04-01,Centro-Oeste,GO,Aparecida de Goiânia,Capotamento,Noite,20,13,1,43.7,Boa,38,Leve
2015,4,2015-04-01,Centro-Oeste,MT,Cuiabá,Capotamento,Madrugada,25,7,0,35.9,Muito ruim,33,Crítico
2015,4,2015-04-01,Centro-Oeste,MS,Campo Grande,Atropelamento,Tarde,23,10,0,5.0,Boa,37,Crítico
2015,4,2015-04-01,Sudeste,SP,São Paulo,Atropelamento,Madrugada,24,10,0,19.5,Ruim,32,Crítico
2015,4,2015-04-01,Sudeste,SP,Campinas,Capotamento,Tarde,19,9,2,38.3,Moderada,40,Moderado
2015,4,2015-04-01,Sudeste,SP,Ribeirão Preto,Atropelamento,Noite,14,10,2,64.3,Muito ruim,42,Grave
2015,4,2015-04-01,Sudeste,RJ,Rio de Janeiro,Saída de pista,Tarde,22,6,3,31.3,Boa,36,Crítico
2015,4,2015-04-01,Sudeste,RJ,Niterói,Saída de pista,Manhã,17,11,2,7.1,Boa,38,Leve
2015,4,2015-04-01,Sudeste,RJ,Nova Iguaçu,Atropelamento,Madrugada,19,11,1,25.0,Ruim,41,Moderado
2015,4,2015-04-01,Sudeste,RJ,Petrópolis,Colisão,Noite,15,10,1,29.6,Ruim,27,Leve
2015,4,2015-04-01,Sudeste,MG,Belo Horizonte,Colisão,Madrugada,16,9,0,15.9,Ruim,25,Grave
2015,4,2015-04-01,Sudeste,MG,Uberlândia,Colisão,Manhã,19,15,1,20.5,Moderada,43,Moderado
2015,4,2015-04-01,Sudeste,MG,Juiz de Fora,Capotamento,Tarde,11,11,0,16.7,Boa,30,Grave
2015,4,2015-04-01,Sudeste,ES,Vitória,Atropelamento,Tarde,24,10,1,16.1,Moderada,44,Grave
2015,4,2015-04-01,Sudeste,ES,Vila Velha,Atropelamento,Madrugada,16,8,3,33.8,Ruim,32,Grave
2015,4,2015-04-01,Sudeste,ES,Serra,Saída de pista,Noite,12,15,2,6.7,Moderada,29,Moderado
2015,4,2015-04-01,Sul,PR,Curitiba,Capotamento,Madrugada,21,14,1,35.6,Muito ruim,40,Moderado
2015,4,2015-04-01,Sul,PR,Londrina,Saída de pista,Tarde,21,19,3,18.9,Boa,33,Leve
2015,4,2015-04-01,Sul,SC,Florianópolis,Colisão,Tarde,17,12,1,15.4,Boa,29,Crítico
2015,4,2015-04-01,Sul,SC,Joinville,Atropelamento,Noite,15,10,1,6.2,Ruim,28,Grave
2015,4,2015-04-01,Sul,RS,Porto Alegre,Atropelamento,Manhã,17,15,0,11.4,Ruim,36,Grave
2015,4,2015-04-01,Sul,RS,Caxias do Sul,Atropelamento,Manhã,17,14,2,15.2,Ruim,33,Crítico
2015,5,2015-05-01,Norte,AM,Manaus,Colisão,Noite,26,10,2,22.8,Moderada,38,Crítico
2015,5,2015-05-01,Norte,PA,Belém,Colisão,Manhã,22,11,2,14.7,Moderada,27,Grave
2015,5,2015-05-01,Norte,PA,Santarém,Capotamento,Noite,29,8,1,36.6,Muito ruim,45,Grave
2015,5,2015-05-01,Norte,RO,Porto Velho,Colisão,Madrugada,23,11,0,33.9,Muito ruim,33,Leve
2015,5,2015-05-01,Norte,TO,Palmas,Saída de pista,Tarde,18,8,1,11.1,Moderada,42,Crítico
2015,5,2015-05-01,Nordeste,BA,Salvador,Capotamento,Tarde,20,10,1,24.5,Ruim,32,Crítico
2015,5,2015-05-01,Nordeste,BA,Feira de Santana,Atropelamento,Manhã,15,12,1,4.6,Moderada,30,Moderado
2015,5,2015-05-01,Nordeste,PE,Recife,Atropelamento,Madrugada,18,18,0,17.2,Moderada,27,Moderado
2015,5,2015-05-01,Nordeste,PE,Jaboatão dos Guararapes,Capotamento,Noite,25,13,1,38.0,Muito ruim,41,Leve
2015,5,2015-05-01,Nordeste,CE,Fortaleza,Colisão,Tarde,23,11,0,46.6,Boa,32,Moderado
2015,5,2015-05-01,Nordeste,CE,Juazeiro do Norte,Saída de pista,Madrugada,22,6,1,12.7,Moderada,39,Grave
2015,5,2015-05-01,Nordeste,MA,São Luís,Atropelamento,Tarde,22,9,1,29.9,Boa,41,Grave
2015,5,2015-05-01,Nordeste,PB,João Pessoa,Saída de pista,Tarde,23,14,4,47.4,Muito ruim,32,Leve
2015,5,2015-05-01,Centro-Oeste,DF,Brasília,Atropelamento,Madrugada,11,12,1,48.1,Ruim,35,Grave
2015,5,2015-05-01,Centro-Oeste,GO,Goiânia,Colisão,Madrugada,10,6,1,9.7,Muito ruim,37,Moderado
2015,5,2015-05-01,Centro-Oeste,GO,Aparecida de Goiânia,Atropelamento,Madrugada,16,11,0,8.6,Muito ruim,40,Crítico
2015,5,2015-05-01,Centro-Oeste,MT,Cuiabá,Colisão,Tarde,22,14,2,19.7,Ruim,35,Crítico
2015,5,2015-05-01,Centro-Oeste,MS,Campo Grande,Saída de pista,Noite,14,9,1,19.9,Moderada,36,Moderado
2015,5,2015-05-01,Sudeste,SP,São Paulo,Saída de pista,Noite,13,15,3,36.6,Moderada,28,Grave
2015,5,2015-05-01,Sudeste,SP,Campinas,Saída de pista,Madrugada,26,10,0,38.0,Muito ruim,48,Crítico
2015,5,2015-05-01,Sudeste,SP,Ribeirão Preto,Atropelamento,Manhã,21,11,0,40.0,Boa,36,Grave
2015,5,2015-05-01,Sudeste,RJ,Rio de Janeiro,Colisão,Manhã,21,7,0,3.9,Muito ruim,30,Leve
2015,5,2015-05-01,Sudeste,RJ,Niterói,Colisão,Tarde,14,12,2,16.0,Boa,39,Leve
2015,5,2015-05-01,Sudeste,RJ,Nova Iguaçu,Capotamento,Noite,18,13,4,15.3,Muito ruim,31,Crítico
2015,5,2015-05-01,Sudeste,RJ,Petrópolis,Colisão,Manhã,23,14,1,60.2,Boa,31,Moderado
2015,5,2015-05-01,Sudeste,MG,Belo Horizonte,Colisão,Tarde,19,11,1,54.8,Muito ruim,42,Grave
2015,5,2015-05-01,Sudeste,MG,Uberlândia,Colisão,Manhã,15,10,2,29.6,Moderada,24,Crítico
2015,5,2015-05-01,Sudeste,MG,Juiz de Fora,Atropelamento,Tarde,28,15,1,20.7,Muito ruim,32,Grave
2015,5,2015-05-01,Sudeste,ES,Vitória,Atropelamento,Madrugada,17,14,0,32.8,Muito ruim,29,Grave
2015,5,2015-05-01,Sudeste,ES,Vila Velha,Atropelamento,Noite,15,10,0,46.1,Moderada,34,Grave
2015,5,2015-05-01,Sudeste,ES,Serra,Capotamento,Noite,12,12,1,73.7,Muito ruim,50,Grave
2015,5,2015-05-01,Sul,PR,Curitiba,Atropelamento,Manhã,15,11,0,30.8,Boa,43,Grave
2015,5,2015-05-01,Sul,PR,Londrina,Atropelamento,Madrugada,18,13,0,50.9,Muito ruim,37,Grave
2015,5,2015-05-01,Sul,SC,Florianópolis,Capotamento,Noite,24,13,1,5.9,Boa,37,Crítico
2015,5,2015-05-01,Sul,SC,Joinville,Atropelamento,Tarde,25,14,0,30.9,Ruim,40,Grave
2015,5,2015-05-01,Sul,RS,Porto Alegre,Colisão,Manhã,17,10,2,20.0,Moderada,36,Leve
2015,5,2015-05-01,Sul,RS,Caxias do Sul,Atropelamento,Manhã,25,9,0,37.0,Moderada,35,Leve
2015,6,2015-06-01,Norte,AM,Manaus,Atropelamento,Tarde,12,16,0,11.0,Boa,18,Moderado
2015,6,2015-06-01,Norte,PA,Belém,Capotamento,Manhã,17,10,0,71.3,Ruim,39,Grave
2015,6,2015-06-01,Norte,PA,Santarém,Atropelamento,Manhã,22,5,0,16.3,Ruim,38,Leve
2015,6,2015-06-01,Norte,RO,Porto Velho,Atropelamento,Manhã,19,10,3,5.1,Moderada,35,Crítico
2015,6,2015-06-01,Norte,TO,Palmas,Capotamento,Noite,18,12,0,19.7,Muito ruim,30,Leve
2015,6,2015-06-01,Nordeste,BA,Salvador,Saída de pista,Noite,16,13,1,8.7,Boa,39,Moderado
2015,6,2015-06-01,Nordeste,BA,Feira de Santana,Colisão,Madrugada,12,10,2,14.5,Ruim,33,Moderado
2015,6,2015-06-01,Nordeste,PE,Recife,Colisão,Noite,22,9,1,50.2,Muito ruim,36,Crítico
2015,6,2015-06-01,Nordeste,PE,Jaboatão dos Guararapes,Atropelamento,Tarde,14,12,1,41.7,Boa,30,Leve
2015,6,2015-06-01,Nordeste,CE,Fortaleza,Colisão,Noite,20,3,1,33.4,Moderada,41,Crítico
2015,6,2015-06-01,Nordeste,CE,Juazeiro do Norte,Capotamento,Tarde,24,17,0,39.2,Boa,44,Leve
2015,6,2015-06-01,Nordeste,MA,São Luís,Atropelamento,Madrugada,15,16,0,38.0,Moderada,33,Leve
2015,6,2015-06-01,Nordeste,PB,João Pessoa,Capotamento,Noite,16,10,0,34.1,Muito ruim,26,Moderado
2015,6,2015-06-01,Centro-Oeste,DF,Brasília,Colisão,Madrugada,21,15,3,21.7,Moderada,32,Leve
2015,6,2015-06-01,Centro-Oeste,GO,Goiânia,Saída de pista,Madrugada,24,13,2,27.2,Ruim,37,Grave
2015,6,2015-06-01,Centro-Oeste,GO,Aparecida de Goiânia,Atropelamento,Madrugada,21,14,1,75.1,Moderada,26,Moderado
2015,6,2015-06-01,Centro-Oeste,MT,Cuiabá,Capotamento,Madrugada,20,14,0,8.3,Ruim,35,Grave
2015,6,2015-06-01,Centro-Oeste,MS,Campo Grande,Saída de pista,Tarde,17,15,2,49.2,Muito ruim,42,Grave
2015,6,2015-06-01,Sudeste,SP,São Paulo,Colisão,Tarde,15,15,0,33.9,Moderada,36,Crítico
2015,6,2015-06-01,Sudeste,SP,Campinas,Capotamento,Noite,16,9,0,18.4,Ruim,44,Grave
2015,6,2015-06-01,Sudeste,SP,Ribeirão Preto,Saída de pista,Manhã,19,7,1,31.9,Muito ruim,40,Grave
2015,6,2015-06-01,Sudeste,RJ,Rio de Janeiro,Saída de pista,Manhã,13,7,0,22.1,Moderada,32,Moderado
2015,6,2015-06-01,Sudeste,RJ,Niterói,Atropelamento,Noite,15,7,0,15.1,Ruim,41,Grave
2015,6,2015-06-01,Sudeste,RJ,Nova Iguaçu,Capotamento,Tarde,17,16,0,36.5,Ruim,38,Leve
2015,6,2015-06-01,Sudeste,RJ,Petrópolis,Capotamento,Tarde,16,13,1,24.3,Moderada,34,Leve
2015,6,2015-06-01,Sudeste,MG,Belo Horizonte,Colisão,Madrugada,20,19,0,6.3,Boa,43,Leve
2015,6,2015-06-01,Sudeste,MG,Uberlândia,Saída de pista,Tarde,21,12,1,31.2,Ruim,43,Moderado
2015,6,2015-06-01,Sudeste,MG,Juiz de Fora,Atropelamento,Manhã,20,12,0,42.3,Muito ruim,28,Moderado
2015,6,2015-06-01,Sudeste,ES,Vitória,Capotamento,Manhã,17,8,0,16.8,Muito ruim,33,Moderado
2015,6,2015-06-01,Sudeste,ES,Vila Velha,Capotamento,Noite,23,8,0,38.2,Moderada,30,Moderado
2015,6,2015-06-01,Sudeste,ES,Serra,Saída de pista,Noite,20,6,0,14.6,Boa,35,Grave
2015,6,2015-06-01,Sul,PR,Curitiba,Colisão,Noite,17,10,4,36.3,Boa,37,Crítico
2015,6,2015-06-01,Sul,PR,Londrina,Saída de pista,Madrugada,21,21,0,21.6,Boa,38,Grave
2015,6,2015-06-01,Sul,SC,Florianópolis,Colisão,Madrugada,12,12,0,26.3,Boa,38,Moderado
2015,6,2015-06-01,Sul,SC,Joinville,Capotamento,Madrugada,16,11,1,31.0,Ruim,44,Crítico
2015,6,2015-06-01,Sul,RS,Porto Alegre,Capotamento,Madrugada,23,6,0,20.4,Ruim,44,Moderado
2015,6,2015-06-01,Sul,RS,Caxias do Sul,Atropelamento,Manhã,25,12,0,5.8,Boa,23,Grave
2015,7,2015-07-01,Norte,AM,Manaus,Capotamento,Noite,18,18,2,2.4,Ruim,38,Moderado
2015,7,2015-07-01,Norte,PA,Belém,Saída de pista,Manhã,22,10,2,19.2,Ruim,34,Moderado
2015,7,2015-07-01,Norte,PA,Santarém,Capotamento,Tarde,14,11,1,59.0,Boa,38,Moderado
2015,7,2015-07-01,Norte,RO,Porto Velho,Colisão,Madrugada,22,11,0,21.4,Boa,46,Crítico
2015,7,2015-07-01,Norte,TO,Palmas,Saída de pista,Manhã,20,9,1,35.3,Muito ruim,36,Crítico
